Year,Papers
1973,303393
1974,325315
1975,336414
1976,356066
1977,404440
1978,421120
1979,429512
1980,446079
1981,467850
1982,488080
1983,508878
1984,522774
1985,532768
1986,539809
1987,555951
1988,570407
1989,586584
1990,603238
1991,621165
1992,629803
1993,645947
1994,675150
1995,707577
1996,727082
1997,741530
1998,761698
1999,775795
2000,792882
2001,795778
2002,814964
2003,855394
2004,898620
2005,947049
2006,1002085
2007,1052457
2008,1132558
2009,1187087
2010,1231013
2011,1311368
2012,1382504
2013,1458530
2014,1503470
2015,1550839
2016,1595743
2017,1601947
